Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/97291775/clean-title-2017-mercedes-benz-gls-450-4matic-ma-north-boston,97291775,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,MERZ,GLS 450 4M,3.0L  6,6,4JGDF6EE4HA******,CERTIFICATE OF TITLE (P),"181,933 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,106,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97291585/clean-title-2011-lexus-gx-460-ma-north-boston,97291585,$1 USD,12/17/2025 06:30 pm GMT+3:30,2011,LEXS,GX 460,4.6L  8,8,JTJBM7FX8B5******,CERTIFICATE OF TITLE (P),"149,422 A",ACTUAL,MINOR DENT/SCRATCHES,"9,500 USD",0 USD,0,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97233765/clean-title-2014-ford-fusion-titanium-hev-ma-north-boston,97233765,$1 USD,12/17/2025 06:30 pm GMT+3:30,2014,FORD,FUSION TIT,2.0L  4,4,3FA6P0RU2ER******,CERTIFICATE OF TITLE (P),"155,895 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,148,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97233125/clean-title-2017-nissan-rogue-sv-ma-north-boston,97233125,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,NISS,ROGUE SV,2.5L  4,4,5N1AT2MV8HC******,CERTIFICATE OF TITLE (P),"151,937 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,150,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97232415/clean-title-2018-ford-explorer-xlt-ma-north-boston,97232415,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,FORD,EXPLORER X,3.5L  6,6,1FM5K7D84JG******,CERTIFICATE OF TITLE (P),"194,287 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,147,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97231215/clean-title-2018-bmw-530-xi-ma-north-boston,97231215,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,BMW,530 XI,2.0L  4,4,WBAJA7C57JW******,CERTIFICATE OF TITLE (P),"202,663 A",ACTUAL,NORMAL WEAR,"2,500 USD",0 USD,146,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97229895/salvage-2014-bmw-x3-xdrive28i-ma-north-boston,97229895,$1 USD,12/17/2025 06:30 pm GMT+3:30,2014,BMW,X3 XDRIVE2,2.0L  4,4,5UXWX9C59E0******,CERT OF TITLE-SALVAGE (P),"123,722 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,149,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97204775/2009-honda-accord-lx-ma-north-boston,97204775,"3,994 USD",12/17/2025 06:30 pm GMT+3:30,2009,HOND,ACCORD LX,2.4L  4,4,1HGCP26389A******,BILL OF SALE-PARTS ONLY,0 E,EXEMPT,FRONT END,300 USD,0 USD,4077,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97142435/clean-title-2016-isuzu-npr-hd-ma-freetown,97142435,$1 USD,12/17/2025 06:30 pm GMT+3:30,2016,ISU,NPR XD,5.2L  4,4,JALC4W163G7******,CERTIFICATE OF TITLE,"317,749 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/97140925/salvage-2022-ram-1500-trx-ny-syracuse,97140925,"92,745 USD",12/17/2025 06:30 pm GMT+3:30,2022,RAM,1500 TRX,6.2L  8,8,1C6SRFU91NN******,MV-907A SALVAGE CERTIFICATE,"46,408 A",ACTUAL,MINOR DENT/SCRATCHES,"22,400 USD",0 USD,45,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/97127885/clean-title-2017-mercedes-benz-gle-350-4matic-ma-north-boston,97127885,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,MERZ,GLE 350 4M,3.5L  6,6,4JGDA5HB8HA******,CERTIFICATE OF TITLE (P),"101,117 A",ACTUAL,MINOR DENT/SCRATCHES,"12,500 USD",0 USD,2281,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97122305/clean-title-2013-chevrolet-silverado-k1500-lt-ny-albany,97122305,"12,525 USD",12/17/2025 06:30 pm GMT+3:30,2013,CHEV,SILVERADO,5.3L  8,8,1GCRKSE70DZ******,CERTIFICATE OF TITLE,"160,966 A",ACTUAL,ALL OVER,0 USD,0 USD,103,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/97116975/clean-title-2025-chevrolet-trailblazer-rs-ma-north-boston,97116975,$1 USD,12/17/2025 06:30 pm GMT+3:30,2025,CHEV,TRAILBLAZE,1.3L  3,3,KL79MUSL2SB******,CERTIFICATE OF TITLE (P),"24,624 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,153,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97107375/salvage-2021-ram-3500-tradesman-ny-syracuse,97107375,"39,704 USD",12/17/2025 06:30 pm GMT+3:30,2021,RAM,3500 TRADE,6.7L  6,6,3C63RRGL4MG******,MV-907A SALVAGE CERTIFICATE,0 N,NOT ACTUAL,UNDERCARRIAGE,250 USD,0 USD,151,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/97106025/clean-title-1999-bmw-m3-ma-north-boston,97106025,$1 USD,12/17/2025 06:30 pm GMT+3:30,1999,BMW,M3,3.2L  6,6,WBSBK9332XE******,CERTIFICATE OF TITLE (P),"139,683 A",ACTUAL,MINOR DENT/SCRATCHES,"10,000 USD",0 USD,0,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97100175/clean-title-2018-ford-escape-se-ny-long-island,97100175,"12,625 USD",12/17/2025 06:30 pm GMT+3:30,2018,FORD,ESCAPE SE,1.5L  4,4,1FMCU9GD4JU******,CERT OF TITLE (P),"72,511 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/97088385/clean-title-2014-jeep-compass-limited-ma-freetown,97088385,$1 USD,12/17/2025 06:30 pm GMT+3:30,2014,JEP,COMPASS LI,2.4L  4,4,1C4NJCCB6ED******,CERTIFICATE OF TITLE,"147,913 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/97085215/clean-title-2017-hyundai-accent-se-ma-freetown,97085215,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,HYUN,ACCENT SE,1.6L  4,4,KMHCT4AE1HU******,CERTIFICATE OF TITLE,"128,032 A",ACTUAL,MINOR DENT/SCRATCHES,125 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/97046485/clean-title-2021-mercedes-benz-gle-350-ma-north-boston,97046485,$1 USD,12/17/2025 06:30 pm GMT+3:30,2021,MERZ,GLE 350,2.0L  4,4,4JGFB4JB6MA******,CERTIFICATE OF TITLE (P),"81,774 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,102,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97044745/clean-title-2021-mercedes-benz-gls-450-4matic-ma-north-boston,97044745,$1 USD,12/17/2025 06:30 pm GMT+3:30,2021,MERZ,GLS 450 4M,3.0L  6,6,4JGFF5KE4MA******,CERTIFICATE OF TITLE (P),"180,583 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97041435/clean-title-2011-ford-taurus-sel-ma-freetown,97041435,$1 USD,12/17/2025 06:30 pm GMT+3:30,2011,FORD,TAURUS,3.5L  6,6,1FAHP2EWXBG******,CERTIFICATE OF TITLE,"229,437 A",ACTUAL,MINOR DENT/SCRATCHES,100 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
